"","Tsize","rep","R2","RMSE","TvsS","BSm","BTm"
"121",25,21,0.342199206723731,17.5787085851228,0.000836237563357253,-37.8761491153375,-3.90974798818313
"122",25,22,0.327046109101007,24.9104827303236,0.000719767458028983,-40.6954029631213,2.99227352654158
"123",25,23,0.248184176204189,21.7568002788466,0.0092536667075879,-44.4336711390308,-17.7937442995834
"124",25,24,0.131005993063448,24.6318843077146,0.0759968195712713,-20.1551161711516,-1.51524546402216
"125",25,25,0.34385854225565,24.4802756363001,0.0118643797445331,-37.3495158133227,-1.82819536177117
"126",25,26,0.401117011122822,28.3148653739796,0.00123908051361535,-45.1160029463152,3.38811195720851
"127",25,27,0.199631691762006,24.0258233650656,0.00478452277716727,-32.0337981253833,1.25212554423293
"128",25,28,0.358464126078048,18.8309768515393,0.0017882751556351,-43.8306529898813,-6.46991005544119
"129",25,29,0.0918170619502287,19.9802727591703,0.0713342096171949,-20.8655343128314,-3.54427789544646
"130",25,30,0.358569288139283,20.0986544101109,0.000802145840934083,-42.6673194367541,-5.62906218224772
